usia;kelompok
50.0      ;Dewasa              
75.0      ;Tua                 
2.0       ;Balita              
43.0      ;Dewasa              
31.0      ;Dewasa              
64.0      ;Tua                 
25.0      ;Dewasa              
30.0      ;Dewasa              
56.0      ;Tua                 
79.0      ;Tua                 
70.0      ;Tua                 
11.0      ;Kanak-kanak         
3.0       ;Balita              
18.0      ;Pemuda              
16.0      ;Remaja              
32.0      ;Dewasa              
11.0      ;Kanak-kanak         
29.0      ;Dewasa              
10.0      ;Kanak-kanak         
10.0      ;Kanak-kanak         
32.0      ;Dewasa              
36.0      ;Dewasa              
28.0      ;Dewasa              
46.0      ;Dewasa              
32.0      ;Dewasa              
53.0      ;Dewasa              
5.0       ;Balita              
15.0      ;Remaja              
26.0      ;Dewasa              
72.0      ;Tua                 
17.0      ;Pemuda              
79.0      ;Tua                 
17.0      ;Pemuda              
58.0      ;Tua                 
60.0      ;Tua                 
12.0      ;Remaja              
76.0      ;Tua                 
70.0      ;Tua                 
75.0      ;Tua                 
66.0      ;Tua                 
55.0      ;Tua                 
22.0      ;Pemuda              
76.0      ;Tua                 
39.0      ;Dewasa              
23.0      ;Pemuda              
25.0      ;Dewasa              
20.0      ;Pemuda              
62.0      ;Tua                 
42.0      ;Dewasa              
51.0      ;Dewasa              
9.0       ;Kanak-kanak         
51.0      ;Dewasa              
6.0       ;Kanak-kanak         
76.0      ;Tua                 
38.0      ;Dewasa              
53.0      ;Dewasa              
20.0      ;Pemuda              
42.0      ;Dewasa              
44.0      ;Dewasa              
32.0      ;Dewasa              
23.0      ;Pemuda              
58.0      ;Tua                 
14.0      ;Remaja              
30.0      ;Dewasa              
32.0      ;Dewasa              
76.0      ;Tua                 
56.0      ;Tua                 
51.0      ;Dewasa              
18.0      ;Pemuda              
79.0      ;Tua                 
15.0      ;Remaja              
56.0      ;Tua                 
17.0      ;Pemuda              
11.0      ;Kanak-kanak         
17.0      ;Pemuda              
64.0      ;Tua                 
62.0      ;Tua                 
7.0       ;Kanak-kanak         
4.0       ;Balita              
46.0      ;Dewasa              
10.0      ;Kanak-kanak         
60.0      ;Tua                 
7.0       ;Kanak-kanak         
21.0      ;Pemuda              
49.0      ;Dewasa              
14.0      ;Remaja              
22.0      ;Pemuda              
74.0      ;Tua                 
29.0      ;Dewasa              
65.0      ;Tua                 
28.0      ;Dewasa              
23.0      ;Pemuda              
14.0      ;Remaja              
35.0      ;Dewasa              
61.0      ;Tua                 
77.0      ;Tua                 
16.0      ;Remaja              
27.0      ;Dewasa              
62.0      ;Tua                 
17.0      ;Pemuda              
